event_id,bin_id,mc_energy_GeV,n_doms_ic,has_dm_hit,lf_ang_err,piv_lf_ang_err,mpe_std_ang_err,mpe_piv_ang_err,mpe_piv2_ang_err,spe_std_ang_err,spe_piv_ang_err,ll_mc,ll_lf,ll_plf,ll_mpe_std,ll_mpe_piv,ll_mpe_piv2,ll_spe_std,ll_spe_piv,dp_lf_m,dp_mpe_m
4195,4,39588.62324341923,158,1,6.377670205766454,0.6158267399907991,0.310694829227977,1.1606712339279641,1.1606712339279641,0.6019332212103286,0.6113552986477419,,,-6.019094101801787,-6.11503549425933,-6.054503613111554,-6.054503613111554,-7.217916921632009,-7.223383652153596,43.96650837481896,3.554098545791596
4196,4,50415.234530346635,591,1,1.0271535110323862,0.4174212179838044,0.10933383279264473,0.10889736575278501,0.10889736575278501,1.0198232261730773,1.0193933599398142,,-11.63173823047479,-6.019094101801787,-6.255098494529629,-6.255078303449324,-6.255078303449324,-6.848356143974344,-6.851490598780589,12.015829266408476,0.8975055773420163
4197,4,83705.72774764274,140,1,8.724993451693994,2.1126255934837626,0.40554430768526634,0.40435202087573463,0.40435202087573463,3.7456626912257165,3.7347653177689164,,,-6.019094101801787,-6.0733943901683585,-6.073732995636387,-6.073732995636387,,-6.065795063915904,31.443387594804946,5.561504791420065
4198,4,60163.46686306893,563,1,2.3440144848643425,0.16950520240912517,0.1602837097094225,0.16003416499098613,0.16003416499098613,1.1440011100795942,1.1456264931631626,,,-6.019094101801787,-6.228146617475217,-6.228224463941493,-6.228224463941493,-6.462814197471265,-6.462676278779627,23.51730048832819,1.6854576388232827
4199,4,45020.60196202098,108,1,11.79215359560893,6.539216639314603,1.2266179294742328,1.2276283862031567,1.2276283862031567,1.45938324528168,1.4709452171910224,,,-6.019094101801787,-6.132109897409975,-6.131505446982369,-6.131505446982369,,-6.984645827545069,28.405882805096947,4.811641033189654
4200,4,69614.0510387581,654,1,2.293174691240678,0.2681848898926632,0.29285109838247764,0.29323871135204804,0.29323871135204804,1.463705593857352,1.4641532051729567,,,-6.019094101801787,-6.207042070301904,-6.206861340923169,-6.206861340923169,-7.148978357219911,-7.146913647388364,20.995736670646686,2.4077069346669324
4201,4,31207.035172360185,214,1,1.0766626145076215,0.3456131226872837,0.12605011588718915,0.12643941098738562,0.12643941098738562,0.33564065403055254,0.33421779912830335,,,-6.019094101801787,-6.207907789830645,-6.207723833775368,-6.207723833775368,-7.114928871915112,-7.115069621952263,21.566152756801987,1.5123035652525856
4202,4,60062.84942078829,633,1,1.2028181945026093,0.6112797315497763,0.16295299553609366,0.16286556232323884,0.16286556232323884,1.0053986433603683,1.0074563954691311,,,-6.019094101801787,-6.236789381963747,-6.236827946766625,-6.236827946766625,,-6.2486161066143175,15.820694729985693,0.9765253716783178
4203,4,81061.09885421116,64,1,82.64278646963568,74.6362981844125,4.047920311708626,,50.81830281658859,47.84722579545892,47.88297326536621,,,-6.019094101801787,-6.104638200268382,,-6.031855964929367,,-66.51849886819382,31.962304117400972,4.824724687013338
4204,4,29915.524485981696,741,1,13.228036850454032,1.705298262344542,0.05656722282294546,0.06931286945708874,0.06931286945708874,2.44751449159106,2.4472745481890006,,,-6.019094101801787,-6.217805558936801,-6.245202008527336,-6.245202008527336,,-6.183316917285052,67.17338380754363,1.096085714997583
4205,4,75265.75524185949,228,1,1.1415266220381424,1.3286424959661856,0.2908611373582713,0.29019145987616635,0.29019145987616635,1.0122818073182764,1.0151955021223547,,,-6.019094101801787,-6.085782880069008,-6.08566923447851,-6.08566923447851,-8.428295171298714,-8.427569518972115,15.808524375863465,3.6396830391032324
